{'device_time_stamp': 7904057295, 'system_time_stamp': 1008710550957, 'left_gaze_point_on_display_area': (0.016580315306782722, 0.3986797630786896), 'left_gaze_point_in_user_coordinate_system': (-268.29791259765625, 226.5863800048828, 71.82891845703125), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.285400390625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (16.74279022216797, -4.063685417175293, 643.97607421875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.4672536551952362, 0.5037817358970642, 0.43729060888290405), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.21383346617221832, 0.43038100004196167), 'right_gaze_point_in_user_coordinate_system': (-158.82241821289062, 215.56430053710938, 67.81722259521484), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.4524078369140625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (78.1104736328125, -4.280680179595947, 626.2510986328125), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3334343433380127, 0.5031821727752686, 0.408720999956131), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 7904065628, 'system_time_stamp': 1008710559286, 'left_gaze_point_on_display_area': (0.012904616072773933, 0.39004141092300415), 'left_gaze_point_in_user_coordinate_system': (-270.33795166015625, 229.58982849121094, 72.92208862304688), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.3075714111328125, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (17.589767456054688, -4.267483234405518, 643.9580078125), 'left_gaze_origin_in_trackbox_coordinate_system': (0.46547263860702515, 0.50420081615448, 0.437295526266098), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.2125731110572815, 0.42512181401252747), 'right_gaze_point_in_user_coordinate_system': (-159.52191162109375, 217.3928680419922, 68.48270416259766), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.4410400390625, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (79.00151062011719, -4.678196907043457, 626.4525756835938), 'right_gaze_origin_in_trackbox_coordinate_system': (0.3315707743167877, 0.5040369033813477, 0.40938588976860046), 'right_gaze_origin_validity': 1}
{'device_time_stamp': 7904073961, 'system_time_stamp': 1008710567616, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904082297, 'system_time_stamp': 1008710575950, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904090630, 'system_time_stamp': 1008710584279, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904098963, 'system_time_stamp': 1008710592608, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904107296, 'system_time_stamp': 1008710600942, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904115630, 'system_time_stamp': 1008710609276, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904123963, 'system_time_stamp': 1008710617609, 'left_gaze_point_on_display_area': (nan, nan), 'left_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_point_validity': 0, 'left_pupil_diameter': nan, 'left_pupil_validity': 0, 'left_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'left_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'left_gaze_origin_validity': 0, 'right_gaze_point_on_display_area': (nan, nan), 'right_gaze_point_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_point_validity': 0, 'right_pupil_diameter': nan, 'right_pupil_validity': 0, 'right_gaze_origin_in_user_coordinate_system': (nan, nan, nan), 'right_gaze_origin_in_trackbox_coordinate_system': (nan, nan, nan), 'right_gaze_origin_validity': 0}
{'device_time_stamp': 7904132297, 'system_time_stamp': 1008710625943, 'left_gaze_point_on_display_area': (0.010392211377620697, 0.3902294635772705), 'left_gaze_point_in_user_coordinate_system': (-271.7322998046875, 229.52444458007812, 72.89826965332031), 'left_gaze_point_validity': 1, 'left_pupil_diameter': 4.2772369384765625, 'left_pupil_validity': 1, 'left_gaze_origin_in_user_coordinate_system': (23.95425796508789, -6.370250701904297, 646.133544921875), 'left_gaze_origin_in_trackbox_coordinate_system': (0.4522818922996521, 0.5085862278938293, 0.44242632389068604), 'left_gaze_origin_validity': 1, 'right_gaze_point_on_display_area': (0.20746669173240662, 0.42459192872047424), 'right_gaze_point_in_user_coordinate_system': (-162.35598754882812, 217.57708740234375, 68.54976654052734), 'right_gaze_point_validity': 1, 'right_pupil_diameter': 4.3898773193359375, 'right_pupil_validity': 1, 'right_gaze_origin_in_user_coordinate_system': (85.53966522216797, -7.831220626831055, 628.8814697265625), 'right_gaze_origin_in_trackbox_coordinate_system': (0.31825652718544006, 0.5108137726783752, 0.416403204202652), 'right_gaze_origin_validity': 1}
