Time_stamp,Left_eye_diameter,Right_eye_diameter
7903965491,nan,nan
7903973824,nan,nan
7903982158,nan,nan
7903990491,nan,nan
7903998824,nan,nan
7904007158,nan,nan
7904015490,nan,nan
7904023824,nan,nan
7904032157,nan,nan
7904040559,nan,nan
7904048962,4.311309814453125,4.468597412109375
7904057295,4.285400390625,4.4524078369140625
7904065628,4.3075714111328125,4.4410400390625
7904073961,nan,nan
7904082297,nan,nan
7904090630,nan,nan
7904098963,nan,nan
7904107296,nan,nan
7904115630,nan,nan
7904123963,nan,nan
7904132297,4.2772369384765625,4.3898773193359375
7904140630,4.251708984375,4.37261962890625
7904148962,4.290557861328125,4.3713836669921875
7904157296,4.2456512451171875,4.3614959716796875
7904165629,4.2880401611328125,4.3535308837890625
7904173971,4.2889556884765625,4.3676300048828125
7904182304,4.2787322998046875,4.338592529296875
7904190638,4.2810211181640625,4.335113525390625
7904198971,4.3033294677734375,4.324737548828125
7904207308,4.278350830078125,4.329345703125
7904215640,4.2665557861328125,4.329193115234375
7904223973,4.3062896728515625,4.3326263427734375
7904232306,4.305572509765625,4.32562255859375
7904240640,4.3028411865234375,4.326141357421875
7904248973,4.317626953125,4.3269195556640625
7904257306,4.2811737060546875,4.3311920166015625
7904265639,4.304412841796875,4.33782958984375
7904273972,4.3055267333984375,4.3383331298828125
7904282304,4.3569793701171875,4.3451385498046875
7904290637,4.3471221923828125,4.342132568359375
7904298971,4.345458984375,4.3647003173828125
7904307304,4.3402252197265625,4.3706512451171875
7904315637,4.3102874755859375,4.3654327392578125
7904323971,4.3134765625,4.3944091796875
7904332306,4.360687255859375,4.3899993896484375
7904340640,4.3549346923828125,4.390869140625
7904348972,4.3456573486328125,4.3992919921875
7904357306,4.3607177734375,4.403594970703125
7904365640,4.3602142333984375,4.409149169921875
7904373972,4.35552978515625,4.424285888671875
7904382304,4.363067626953125,4.4089202880859375
7904390639,4.371856689453125,4.4349365234375
7904398970,4.378631591796875,4.4426116943359375
7904407304,4.3978118896484375,4.4521484375
7904415637,4.396270751953125,4.4448089599609375
7904423970,4.415374755859375,4.4669952392578125
7904432304,4.404754638671875,4.4590606689453125
7904440637,4.4072113037109375,4.47735595703125
7904448970,4.4404449462890625,4.4693756103515625
7904457304,4.432891845703125,4.487274169921875
7904465642,4.442657470703125,4.4925994873046875
7904473975,4.446533203125,4.4903717041015625
7904482309,4.418060302734375,4.498260498046875
7904490642,4.4466400146484375,4.5091400146484375
7904498974,4.476226806640625,4.513397216796875
7904507308,4.4967498779296875,4.5161590576171875
7904515642,4.46343994140625,4.522308349609375
7904523974,4.45062255859375,4.537445068359375
7904532308,4.4347686767578125,4.5088348388671875
7904540641,4.4605712890625,4.5326385498046875
7904548974,4.479278564453125,4.5212554931640625
7904557308,4.4499969482421875,4.51654052734375
7904565641,4.4548187255859375,4.521148681640625
7904573974,4.4832611083984375,4.514556884765625
7904582308,4.4647216796875,4.51507568359375
7904590641,4.45758056640625,4.522186279296875
7904598979,4.4757232666015625,4.528289794921875
7904607313,4.4483795166015625,4.5231475830078125
7904615646,4.519287109375,4.521942138671875
7904623979,4.4400482177734375,4.53070068359375
7904632313,4.4787750244140625,4.5246734619140625
7904640646,4.456024169921875,4.5255126953125
7904648979,4.4853668212890625,4.555389404296875
7904657313,4.50616455078125,4.5290679931640625
7904665646,4.5050048828125,4.5413055419921875
7904673979,4.4998626708984375,4.5474395751953125
7904682313,4.51312255859375,4.5478363037109375
7904690646,4.517608642578125,4.5372161865234375
7904698979,4.5414276123046875,4.55133056640625
7904707312,4.5300750732421875,4.533447265625
7904715646,4.515289306640625,4.5519866943359375
7904723981,4.518402099609375,4.5508270263671875
7904732314,4.574615478515625,4.5552215576171875
7904740648,4.4261016845703125,4.584014892578125
7904748981,4.524749755859375,4.577880859375
7904757314,4.55291748046875,4.5482025146484375
7904765648,4.52252197265625,4.55706787109375
7904773981,4.5404052734375,4.5669403076171875
7904782314,4.502349853515625,4.5313262939453125
7904790648,4.510772705078125,4.548583984375
7904798981,4.5416412353515625,4.538299560546875
7904807314,4.5183563232421875,4.5232391357421875
7904815648,4.5311126708984375,4.4897918701171875
7904823981,4.497161865234375,4.5014190673828125
7904832314,4.5197906494140625,4.4991455078125
7904840648,4.517974853515625,4.498687744140625
7904848981,4.471832275390625,4.4776611328125
7904857316,4.4919586181640625,4.4693603515625
7904865650,4.493072509765625,4.4621124267578125
7904873983,4.48272705078125,4.471221923828125
7904882316,4.50335693359375,4.4537811279296875
7904890650,4.49542236328125,4.4432373046875
7904898983,4.484375,4.4580230712890625
7904907316,4.48455810546875,4.45159912109375
7904915650,4.48211669921875,4.4252471923828125
7904923983,4.4801483154296875,4.411163330078125
7904932316,4.4355010986328125,4.4445037841796875
7904940650,4.45843505859375,4.42877197265625
7904948983,4.42266845703125,4.4419403076171875
7904957316,4.41119384765625,4.427093505859375
7904965650,4.4452972412109375,4.403228759765625
7904973983,4.436492919921875,4.3931732177734375
